Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
2018-03,2018,3,Andalucía,T.HORTALIZAS FRESCAS,38505.79,66399.93,1.72,96.93,4.43,7.64
2018-03,2018,3,Aragón,T.HORTALIZAS FRESCAS,7578.78,13834.07,1.83,98.11,5.77,10.54
2018-03,2018,3,Principado de Asturias,T.HORTALIZAS FRESCAS,3701.71,7008.99,1.89,93.71,3.41,6.46
2018-03,2018,3,Illes Balears,T.HORTALIZAS FRESCAS,5728.03,10921.54,1.91,95.81,5.56,10.6
2018-03,2018,3,Canarias,T.HORTALIZAS FRESCAS,10900.84,19963.16,1.83,97.72,4.99,9.13
2018-03,2018,3,Cantabria,T.HORTALIZAS FRESCAS,1875.96,3166.49,1.69,95.39,3.37,5.69
2018-03,2018,3,Castilla-La Mancha,T.HORTALIZAS FRESCAS,9127.26,15770.06,1.73,97.94,4.35,7.52
2018-03,2018,3,Castilla y León,T.HORTALIZAS FRESCAS,8873.43,15699.99,1.77,94.57,3.63,6.42
2018-03,2018,3,Cataluña\/Catalunya,T.HORTALIZAS FRESCAS,44416.7,81759.89,1.84,97.76,6.42,11.82
2018-03,2018,3,Extremadura,T.HORTALIZAS FRESCAS,4532.87,8213.68,1.81,98.83,3.84,6.97
2018-03,2018,3,Galicia,T.HORTALIZAS FRESCAS,10969.35,20018.13,1.82,96.03,3.96,7.23
2018-03,2018,3,La Rioja,T.HORTALIZAS FRESCAS,1333.78,2610.99,1.96,92.88,4.21,8.25
2018-03,2018,3,Comunidad de Madrid,T.HORTALIZAS FRESCAS,27933.45,50880.99,1.82,96.4,4.49,8.18
2018-03,2018,3,Región de Murcia,T.HORTALIZAS FRESCAS,7417.73,13159.54,1.77,97.36,5.21,9.24
2018-03,2018,3,Comunidad Foral de Navarra,T.HORTALIZAS FRESCAS,2829.48,5536.68,1.96,96.9,4.78,9.35
2018-03,2018,3,País Vasco,T.HORTALIZAS FRESCAS,10433,20470.56,1.96,95.65,5.04,9.89
2018-03,2018,3,Comunitat Valenciana,T.HORTALIZAS FRESCAS,25737.24,46032.7,1.79,97.42,5.44,9.73
2018-03,2018,3,Andalucía,T.FRUTAS FRESCAS,51799.84,80538.85,1.55,94.6,5.96,9.27
2018-03,2018,3,Aragón,T.FRUTAS FRESCAS,9297.01,14668.82,1.58,96.37,7.08,11.17
2018-03,2018,3,Principado de Asturias,T.FRUTAS FRESCAS,8089.5,13880.37,1.72,95.62,7.46,12.8
2018-03,2018,3,Illes Balears,T.FRUTAS FRESCAS,7535.42,13008.17,1.73,95.94,7.31,12.63
2018-03,2018,3,Canarias,T.FRUTAS FRESCAS,15612.69,25998.64,1.67,96.33,7.14,11.89
2018-03,2018,3,Cantabria,T.FRUTAS FRESCAS,3991.16,6067.56,1.52,95.99,7.17,10.9
2018-03,2018,3,Castilla-La Mancha,T.FRUTAS FRESCAS,14001.27,20928.38,1.49,97.14,6.67,9.98
2018-03,2018,3,Castilla y León,T.FRUTAS FRESCAS,19706.01,28465.86,1.44,95.54,8.06,11.64
2018-03,2018,3,Cataluña\/Catalunya,T.FRUTAS FRESCAS,55803.64,93248.33,1.67,96.08,8.07,13.48
2018-03,2018,3,Extremadura,T.FRUTAS FRESCAS,8041.53,11221.09,1.4,96.18,6.82,9.52
2018-03,2018,3,Galicia,T.FRUTAS FRESCAS,22853.01,36470.49,1.6,97.22,8.25,13.17
2018-03,2018,3,La Rioja,T.FRUTAS FRESCAS,2071.35,3599.35,1.74,97.62,6.55,11.37
2018-03,2018,3,Comunidad de Madrid,T.FRUTAS FRESCAS,44308.28,69747,1.57,95.34,7.12,11.21
2018-03,2018,3,Región de Murcia,T.FRUTAS FRESCAS,8552.26,13652.66,1.6,93.43,6.01,9.59
2018-03,2018,3,Comunidad Foral de Navarra,T.FRUTAS FRESCAS,4672.65,7402.6,1.58,97.45,7.89,12.5
2018-03,2018,3,País Vasco,T.FRUTAS FRESCAS,18224.67,29829.5,1.64,96.34,8.8,14.41
2018-03,2018,3,Comunitat Valenciana,T.FRUTAS FRESCAS,29393.27,46837.21,1.59,95.13,6.21,9.9
2018-04,2018,4,Andalucía,T.HORTALIZAS FRESCAS,39592.07,65471.99,1.65,97.15,4.56,7.54
2018-04,2018,4,Aragón,T.HORTALIZAS FRESCAS,8522.7,14777.57,1.73,97.66,6.49,11.26
2018-04,2018,4,Principado de Asturias,T.HORTALIZAS FRESCAS,4076.22,7359.76,1.81,94.7,3.76,6.79
2018-04,2018,4,Illes Balears,T.HORTALIZAS FRESCAS,5703.51,10656.56,1.87,96.7,5.54,10.34
2018-04,2018,4,Canarias,T.HORTALIZAS FRESCAS,10958.44,19765.74,1.8,97.71,5.01,9.04
2018-04,2018,4,Cantabria,T.HORTALIZAS FRESCAS,2660.3,4315.92,1.62,93.58,4.78,7.75
2018-04,2018,4,Castilla-La Mancha,T.HORTALIZAS FRESCAS,9188.25,15339.11,1.67,96.98,4.38,7.31
2018-04,2018,4,Castilla y León,T.HORTALIZAS FRESCAS,9867.02,16686.66,1.69,98.03,4.03,6.82
2018-04,2018,4,Cataluña\/Catalunya,T.HORTALIZAS FRESCAS,42760.85,76992.32,1.8,97.3,6.18,11.13
2018-04,2018,4,Extremadura,T.HORTALIZAS FRESCAS,4764.06,7970.35,1.67,98.7,4.04,6.76
2018-04,2018,4,Galicia,T.HORTALIZAS FRESCAS,10898.68,19506.91,1.79,96.83,3.93,7.04
2018-04,2018,4,La Rioja,T.HORTALIZAS FRESCAS,1228.54,2454.1,2,96.86,3.88,7.75
2018-04,2018,4,Comunidad de Madrid,T.HORTALIZAS FRESCAS,31538,56009.15,1.78,98.03,5.07,9
2018-04,2018,4,Región de Murcia,T.HORTALIZAS FRESCAS,7069.85,13147.53,1.86,92.24,4.96,9.23
2018-04,2018,4,Comunidad Foral de Navarra,T.HORTALIZAS FRESCAS,2807.66,5251.09,1.87,99.36,4.74,8.87
2018-04,2018,4,País Vasco,T.HORTALIZAS FRESCAS,11657.1,21998.61,1.89,97.54,5.63,10.63
2018-04,2018,4,Comunitat Valenciana,T.HORTALIZAS FRESCAS,26675.34,46235.11,1.73,97.8,5.64,9.77
2018-04,2018,4,Andalucía,T.FRUTAS FRESCAS,52121.51,80467.7,1.54,95.02,6,9.26
2018-04,2018,4,Aragón,T.FRUTAS FRESCAS,9025.25,14125.6,1.57,95.16,6.87,10.76
2018-04,2018,4,Principado de Asturias,T.FRUTAS FRESCAS,7772.6,13030.74,1.68,94,7.17,12.02
2018-04,2018,4,Illes Balears,T.FRUTAS FRESCAS,7537.14,13196.25,1.75,94.99,7.32,12.81
2018-04,2018,4,Canarias,T.FRUTAS FRESCAS,15279.04,25462.69,1.67,96.71,6.99,11.65
2018-04,2018,4,Cantabria,T.FRUTAS FRESCAS,4185.06,6477.97,1.55,95.68,7.52,11.64
2018-04,2018,4,Castilla-La Mancha,T.FRUTAS FRESCAS,14824.66,22033.5,1.49,96.09,7.07,10.5
2018-04,2018,4,Castilla y León,T.FRUTAS FRESCAS,20193.06,29576.52,1.46,96.46,8.25,12.09
2018-04,2018,4,Cataluña\/Catalunya,T.FRUTAS FRESCAS,54070.86,92785.21,1.72,95.79,7.81,13.41
2018-04,2018,4,Extremadura,T.FRUTAS FRESCAS,7175.34,10400.14,1.45,96.52,6.09,8.82
2018-04,2018,4,Galicia,T.FRUTAS FRESCAS,23958.12,38506.16,1.61,98.5,8.65,13.9
2018-04,2018,4,La Rioja,T.FRUTAS FRESCAS,1743.83,2912.83,1.67,96.07,5.51,9.2
2018-04,2018,4,Comunidad de Madrid,T.FRUTAS FRESCAS,47628.36,77665.36,1.63,96.44,7.65,12.48
2018-04,2018,4,Región de Murcia,T.FRUTAS FRESCAS,8848.12,14076.33,1.59,90.35,6.21,9.88
2018-04,2018,4,Comunidad Foral de Navarra,T.FRUTAS FRESCAS,4753.66,7699.5,1.62,98.55,8.03,13
2018-04,2018,4,País Vasco,T.FRUTAS FRESCAS,19349.84,32484.18,1.68,97.4,9.35,15.69
2018-04,2018,4,Comunitat Valenciana,T.FRUTAS FRESCAS,30372.31,48277.7,1.59,95.34,6.42,10.2
2018-05,2018,5,Andalucía,T.HORTALIZAS FRESCAS,37609.91,63227.4,1.68,96.77,4.33,7.28
2018-05,2018,5,Aragón,T.HORTALIZAS FRESCAS,8990.71,16299.17,1.81,97.34,6.85,12.41
2018-05,2018,5,Principado de Asturias,T.HORTALIZAS FRESCAS,3978.06,7224.85,1.82,97.23,3.67,6.66
2018-05,2018,5,Illes Balears,T.HORTALIZAS FRESCAS,5623.84,10863.41,1.93,98.25,5.46,10.55
2018-05,2018,5,Canarias,T.HORTALIZAS FRESCAS,11344.12,19410.14,1.71,98.02,5.19,8.88
2018-05,2018,5,Cantabria,T.HORTALIZAS FRESCAS,2026.17,3824.07,1.89,97.98,3.64,6.87
2018-05,2018,5,Castilla-La Mancha,T.HORTALIZAS FRESCAS,9115.92,15337.22,1.68,97.2,4.35,7.31
2018-05,2018,5,Castilla y León,T.HORTALIZAS FRESCAS,10254.46,17848.5,1.74,96.12,4.19,7.3
2018-05,2018,5,Cataluña\/Catalunya,T.HORTALIZAS FRESCAS,41835.07,76042.56,1.82,98.25,6.05,10.99
2018-05,2018,5,Extremadura,T.HORTALIZAS FRESCAS,5268.57,8694.1,1.65,98.13,4.47,7.37
2018-05,2018,5,Galicia,T.HORTALIZAS FRESCAS,11025.05,19700.49,1.79,96.64,3.98,7.11
2018-05,2018,5,La Rioja,T.HORTALIZAS FRESCAS,1643.97,3277.67,1.99,93.82,5.19,10.36
2018-05,2018,5,Comunidad de Madrid,T.HORTALIZAS FRESCAS,31211.69,55651.95,1.78,97.44,5.01,8.94
